place_id,name,description,is_spending_on_ads,competitors,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link,status,price_range,reviews_per_rating_1,reviews_per_rating_2,reviews_per_rating_3,reviews_per_rating_4,reviews_per_rating_5,featured_question,reviews_link,coordinates,plus_code,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,time_zone,cid,data_id,menu_link,reservations,order_online_links,service_options_enabled,service_options_disabled,accessibility_enabled,accessibility_disabled,offerings_enabled,offerings_disabled,dining_options_enabled,dining_options_disabled,amenities_enabled,amenities_disabled,atmosphere_enabled,atmosphere_disabled,crowd_enabled,crowd_disabled,planning_enabled,planning_disabled,children_enabled,children_disabled,parking_enabled,parking_disabled,hours,most_popular_times,popular_times
ChIJPTNLoGmljRIR-H1F2XpWngA,L'ami Gourmet,,False,,8,,L'ami Gourmet (Owner),,https://lh5.googleusercontent.com/p/AF1QipPbhtiU3tEjeA8RF-ZkNwWk5A7rGTi5ITWzjIKu=w408-h544-k-no,Coffee shop,Coffee shop,4.6,,Open All Days,,"P8W6+3MR L'ami Gourmet, N73, Freha, Algeria",,https://www.google.com/maps/place/L%27ami+Gourmet/data=!4m7!3m6!1s0x128da569a04b333d:0x9e567ad9457df8!8m2!3d36.7452793!4d4.3117667!16s%2Fg%2F11v69_7qnh!19sChIJPTNLoGmljRIR-H1F2XpWngA?authuser=0&hl=en&rclk=1,,,0,0,0,3,5,,https://search.google.com/local/reviews?placeid=ChIJPTNLoGmljRIR-H1F2XpWngA&q=L%27ami+Gourmet&authuser=0&hl=en&gl=DZ,"36.7452793,4.3117667",,,"P8W6+3MR, N73",Freha,,,DZ,Africa/Algiers,44568131951492600,0x128da569a04b333d:0x9e567ad9457df8,,,,"Takeout, Dine-in",,"Wheelchair accessible parking lot, Wheelchair accessible seating",,"Coffee, Small plates",,"Lunch, Dinner, Catering, Dessert",,Restroom,,"Casual, Cozy",,Groups,,Accepts reservations,,Good for kids,,"Free parking lot, Parking",,,Not Present,Not Present
ChIJQZfTIZmvjRIRYgYzQ79Eiw0,Cafe Larbi,,False,"Name: Cafe
link: https://www.google.com/maps/search/Caf%C3%A9/@36.6874614,4.2672992?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: Cafe Ziani
link: https://www.google.com/maps/search/Caf%C3%A9+Ziani/@36.687747200000004,4.2678354?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",2,,Cafe Larbi (Owner),,,Coffee shop,Coffee shop,4.5,7 AM-8 PM,Open All Days,,"M7P9+R58 Cafe Larbi, Mekla, Algeria",,https://www.google.com/maps/place/Caf%C3%A9+Larbi/data=!4m7!3m6!1s0x128daf9921d39741:0xd8b44bf43330662!8m2!3d36.6870395!4d4.2679547!16s%2Fg%2F11g8y9bmwj!19sChIJQZfTIZmvjRIRYgYzQ79Eiw0?authuser=0&hl=en&rclk=1,Open  Closes 8 PM,,0,0,0,1,1,,https://search.google.com/local/reviews?placeid=ChIJQZfTIZmvjRIRYgYzQ79Eiw0&q=Caf%C3%A9+Larbi&authuser=0&hl=en&gl=DZ,"36.6870395,4.2679547",,Mekla,M7P9+R58,Mekla,,,DZ,Africa/Algiers,975949332512704098,0x128daf9921d39741:0xd8b44bf43330662,,,,,,"Wheelchair accessible restroom, Wheelchair accessible seating",,Coffee,,"Breakfast, Dessert",,Restroom,,Cozy,,Groups,,Accepts reservations,,,,,,"Monday: 7 AM-8 PM
Tuesday: 7 AM-8 PM
Wednesday: 7 AM-8 PM
Thursday: 7 AM-8 PM
Friday: 7 AM-8 PM
Saturday: 7 AM-8 PM
Sunday: 7 AM-8 PM","12 PM, 11 AM, 7 AM
---
Time Label: 12 PM
Average Popularity: 27.428571428571427

Time Label: 11 AM
Average Popularity: 26.428571428571427

Time Label: 7 AM
Average Popularity: 22.428571428571427","Monday:
    6 AM: 0% | Idle
    7 AM: 26% | Usually not too busy
    8 AM: 6% | Usually not busy
    9 AM: 0% | Idle
    10 AM: 0% | Idle
    11 AM: 0% | Idle
    12 PM: 0% | Idle
    1 PM: 6% | Usually not busy
    2 PM: 20% | Usually not busy
    3 PM: 6% | Usually not busy
    4 PM: 0% | Idle
    5 PM: 0% | Idle
    6 PM: 0% | Idle
    7 PM: 6% | Usually not busy
    8 PM: 0% | Idle
    9 PM: 0% | Idle
    10 PM: 0% | Idle
    11 PM: 0% | Idle

Tuesday:
    6 AM: 0% | Idle
    7 AM: 0% | Idle
    8 AM: 6% | Usually not busy
    9 AM: 13% | Usually not busy
    10 AM: 33% | Usually not too busy
    11 AM: 26% | Usually not too busy
    12 PM: 20% | Usually not busy
    1 PM: 13% | Usually not busy
    2 PM: 6% | Usually not busy
    3 PM: 0% | Idle
    4 PM: 0% | Idle
    5 PM: 0% | Idle
    6 PM: 6% | Usually not busy
    7 PM: 20% | Usually not busy
    8 PM: 0% | Idle
    9 PM: 0% | Idle
    10 PM: 0% | Idle
    11 PM: 0% | Idle

Wednesday:
    6 AM: 0% | Idle
    7 AM: 0% | Idle
    8 AM: 0% | Idle
    9 AM: 0% | Idle
    10 AM: 0% | Idle
    11 AM: 6% | Usually not busy
    12 PM: 20% | Usually not busy
    1 PM: 40% | Usually not too busy
    2 PM: 20% | Usually not busy
    3 PM: 6% | Usually not busy
    4 PM: 6% | Usually not busy
    5 PM: 13% | Usually not busy
    6 PM: 6% | Usually not busy
    7 PM: 6% | Usually not busy
    8 PM: 0% | Idle
    9 PM: 0% | Idle
    10 PM: 0% | Idle
    11 PM: 0% | Idle

Thursday:
    6 AM: 0% | Idle
    7 AM: 26% | Usually not too busy
    8 AM: 33% | Usually not too busy
    9 AM: 46% | Usually not too busy
    10 AM: 40% | Usually not too busy
    11 AM: 53% | Usually a little busy
    12 PM: 46% | Usually not too busy
    1 PM: 26% | Usually not too busy
    2 PM: 13% | Usually not busy
    3 PM: 20% | Usually not busy
    4 PM: 26% | Usually not too busy
    5 PM: 6% | Usually not busy
    6 PM: 6% | Usually not busy
    7 PM: 0% | Idle
    8 PM: 0% | Idle
    9 PM: 0% | Idle
    10 PM: 0% | Idle
    11 PM: 0% | Idle

Friday:
    6 AM: 0% | Idle
    7 AM: 46% | Usually not too busy
    8 AM: 33% | Usually not too busy
    9 AM: 13% | Usually not busy
    10 AM: 0% | Idle
    11 AM: 0% | Idle
    12 PM: 0% | Idle
    1 PM: 6% | Usually not busy
    2 PM: 13% | Usually not busy
    3 PM: 6% | Usually not busy
    4 PM: 0% | Idle
    5 PM: 0% | Idle
    6 PM: 0% | Idle
    7 PM: 0% | Idle
    8 PM: 0% | Idle
    9 PM: 0% | Idle
    10 PM: 0% | Idle
    11 PM: 0% | Idle

Saturday:
    6 AM: 0% | Idle
    7 AM: 6% | Usually not busy
    8 AM: 6% | Usually not busy
    9 AM: 20% | Usually not busy
    10 AM: 46% | Usually not too busy
    11 AM: 20% | Usually not busy
    12 PM: 6% | Usually not busy
    1 PM: 0% | Idle
    2 PM: 0% | Idle
    3 PM: 20% | Usually not busy
    4 PM: 26% | Usually not too busy
    5 PM: 53% | Usually a little busy
    6 PM: 26% | Usually not too busy
    7 PM: 13% | Usually not busy
    8 PM: 0% | Idle
    9 PM: 0% | Idle
    10 PM: 0% | Idle
    11 PM: 0% | Idle

Sunday:
    6 AM: 0% | Idle
    7 AM: 53% | Usually a little busy
    8 AM: 26% | Usually not too busy
    9 AM: 13% | Usually not busy
    10 AM: 33% | Usually not too busy
    11 AM: 80% | Usually a little busy
    12 PM: 100% | Usually as busy as it gets
    1 PM: 66% | Usually a little busy
    2 PM: 33% | Usually not too busy
    3 PM: 20% | Usually not busy
    4 PM: 26% | Usually not too busy
    5 PM: 13% | Usually not busy
    6 PM: 6% | Usually not busy
    7 PM: 0% | Idle
    8 PM: 0% | Idle
    9 PM: 0% | Idle
    10 PM: 0% | Idle
    11 PM: 0% | Idle"
ChIJmRb9pRapjRIRToLyRcFmDmY,Cafeteria,,False,"Name: Cafeteria d'a achour
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+d%E2%80%99%C3%A0+achour/@36.556442,4.322259?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: cafeteria
link: https://www.google.com/maps/search/caf%C3%A9t%C3%A9ria/@36.7557086,4.2530000999999995?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Cafe du villageois
link: https://www.google.com/maps/search/Caf%C3%A9+du+villageois/@36.6340672,4.3358509?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Cafe Ait Hocine
link: https://www.google.com/maps/search/Caf%C3%A9+A%C3%AFt+Hocine/@36.5438821,4.2387215?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: cafeteria Bladi
link: https://www.google.com/maps/search/caf%C3%A9t%C3%A9ria+Bladi/@36.7960364,4.4189863?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",2,,Cafeteria (Owner),,https://lh5.googleusercontent.com/p/AF1QipPt2_9A95A7v63TXfk_2SUzG6XmWmJGDprJQLc-=w426-h240-k-no,Coffee shop,Coffee shop,5,,Open All Days,,"J8WG+P68 Cafeteria, Ait Khellili, Algeria",,https://www.google.com/maps/place/Caf%C3%A9t%C3%A9ria/data=!4m7!3m6!1s0x128da916a5fd1699:0x660e66c145f2824e!8m2!3d36.6467832!4d4.3255837!16s%2Fg%2F11qpb233vc!19sChIJmRb9pRapjRIRToLyRcFmDmY?authuser=0&hl=en&rclk=1,,,0,0,0,0,2,,https://search.google.com/local/reviews?placeid=ChIJmRb9pRapjRIRToLyRcFmDmY&q=Caf%C3%A9t%C3%A9ria&authuser=0&hl=en&gl=DZ,"36.6467832,4.3255837",,Sahel,J8WG+P68,Ait Khellili,,,DZ,Africa/Algiers,7353928221830840910,0x128da916a5fd1699:0x660e66c145f2824e,,,,"Dine-in, Delivery",,"Wheelchair accessible restroom, Wheelchair accessible seating",,Coffee,,"Breakfast, Dessert",,Restroom,,,,Groups,,,,,,,,,Not Present,Not Present
ChIJNZTgMuGnjRIRwCTmacdzjZc,Cafe chez malki El hocine,,False,,2,,Cafe chez malki El hocine (Owner),,https://lh5.googleusercontent.com/p/AF1QipPcKuW890n6bNRMK5hPKU6OOYUkpNp--8Ph1wQM=w408-h544-k-no,Coffee shop,Coffee shop,3,5 AM-8 PM,Friday,+213 775 62 77 34,"P9WC+9RG Cafe chez malki El hocine, Azazga, Algeria",,https://www.google.com/maps/place/Caf%C3%A9+chez+malki+El+hocine/data=!4m7!3m6!1s0x128da7e132e09435:0x978d73c769e624c0!8m2!3d36.7459289!4d4.3720742!16s%2Fg%2F11vf4wxtm0!19sChIJNZTgMuGnjRIRwCTmacdzjZc?authuser=0&hl=en&rclk=1,Open  Closes 8 PM,,1,0,0,0,1,,https://search.google.com/local/reviews?placeid=ChIJNZTgMuGnjRIRwCTmacdzjZc&q=Caf%C3%A9+chez+malki+El+hocine&authuser=0&hl=en&gl=DZ,"36.745928899999996,4.3720742",,Azazga,P9WC+9RG,Azazga,,,DZ,Africa/Algiers,10920511971755697344,0x128da7e132e09435:0x978d73c769e624c0,,,,,,,,Coffee,,,,,,"Casual, Cozy",,Groups,,,,Good for kids,,,,"Monday: 5 AM-8 PM
Tuesday: 5 AM-8 PM
Wednesday: 5 AM-8 PM
Thursday: 5 AM-8 PM
Friday: Closed
Saturday: 5 AM-8 PM
Sunday: 5 AM-8 PM",Not Present,Not Present
ChIJ259EFpmvjRIR7I9KDd8_rHg,Cafe Ziani,,False,"Name: Cafe Larbi
link: https://www.google.com/maps/search/Caf%C3%A9+Larbi/@36.6870395,4.2679547?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: Cafe
link: https://www.google.com/maps/search/Caf%C3%A9/@36.6874614,4.2672992?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: ZM FOOD mekla
link: https://www.google.com/maps/search/ZM+FOOD+mekla/@36.689623,4.2657701?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",1,,Cafe Ziani (Owner),,,Coffee shop,Coffee shop,4,7 AM-8 PM,Open All Days,,"M7Q9+34W Cafe Ziani, Mekla, Algeria",,https://www.google.com/maps/place/Caf%C3%A9+Ziani/data=!4m7!3m6!1s0x128daf9916449fdb:0x78ac3fdf0d4a8fec!8m2!3d36.6877472!4d4.2678354!16s%2Fg%2F11d_bbc455!19sChIJ259EFpmvjRIR7I9KDd8_rHg?authuser=0&hl=en&rclk=1,Open  Closes 8 PM,,0,0,0,1,0,,https://search.google.com/local/reviews?placeid=ChIJ259EFpmvjRIR7I9KDd8_rHg&q=Caf%C3%A9+Ziani&authuser=0&hl=en&gl=DZ,"36.6877472,4.2678354",,Mekla,M7Q9+34W,Mekla,,,DZ,Africa/Algiers,8695395207778832364,0x128daf9916449fdb:0x78ac3fdf0d4a8fec,,,,Delivery,,"Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating",,Coffee,,"Breakfast, Dessert",,Restroom,,Cozy,,Groups,,Accepts reservations,,,,,,"Monday: 7 AM-8 PM
Tuesday: 7 AM-8 PM
Wednesday: 7 AM-8 PM
Thursday: 7 AM-8 PM
Friday: 7 AM-8 PM
Saturday: 7 AM-8 PM
Sunday: 7 AM-8 PM",Not Present,Not Present
ChIJI7Jf-_CvjRIRpyzLPi7sgx8,Cafe Aissat Idir,,False,"Name: Cafeteria Tighzert
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+Tighzert/@36.646815,4.074634?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews",1,,Cafe Aissat Idir (Owner),,,Coffee shop,Coffee shop,5,,Open All Days,,"M7JQ+G8R Cafe Aissat Idir, Mekla, Algeria",,https://www.google.com/maps/place/Caf%C3%A9+Aissat+Idir/data=!4m7!3m6!1s0x128daff0fb5fb223:0x1f83ec2e3ecb2ca7!8m2!3d36.681362!4d4.2882625!16s%2Fg%2F11sfpdsqpy!19sChIJI7Jf-_CvjRIRpyzLPi7sgx8?authuser=0&hl=en&rclk=1,,,0,0,0,0,1,,https://search.google.com/local/reviews?placeid=ChIJI7Jf-_CvjRIRpyzLPi7sgx8&q=Caf%C3%A9+Aissat+Idir&authuser=0&hl=en&gl=DZ,"36.681362,4.2882625",,El Djamaa N Saridj,M7JQ+G8R,Mekla,,,DZ,Africa/Algiers,2270918320491015335,0x128daff0fb5fb223:0x1f83ec2e3ecb2ca7,,,,Delivery,,Wheelchair accessible seating,,Coffee,,Dessert,,Restroom,,Cozy,,Groups,,,,,,,,,Not Present,Not Present
ChIJ1eXSH7S7jRIRWyn3rg68_yk,La cabane cafeteria,,False,"Name: tarik nafa Cafeteria
link: https://www.google.com/maps/search/tarik+nafa+Caf%C3%A9t%C3%A9ria/@36.7117179,4.1951972?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: Cafeteria tazeqqa
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+tazeqqa/@36.7490114,4.3106933?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: Cafeteria les 4 freres
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+les+4+fr%C3%A8res/@36.7559483,4.3159331?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Tabac
link: https://www.google.com/maps/search/Tabac/@36.7086713,4.1957293?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",1,,La cabane cafeteria (Owner),https://www.google.com/maps/contrib/115237472389009499271,https://lh5.googleusercontent.com/p/AF1QipMN2dujtEOdSOgD0oH9-q21-bHZoovKSfDZfXZO=w408-h306-k-no,Coffee shop,Coffee shop,5,6 AM-7 PM,Open All Days,+213 557 40 85 82,"P57W+8M7 La cabane cafeteria, Freha, Algeria",,https://www.google.com/maps/place/La+cabane+caf%C3%A9t%C3%A9ria/data=!4m7!3m6!1s0x128dbbb41fd2e5d5:0x29ffbc0eaef7295b!8m2!3d36.7133125!4d4.1966875!16s%2Fg%2F11syr379zg!19sChIJ1eXSH7S7jRIRWyn3rg68_yk?authuser=0&hl=en&rclk=1,Open  Closes 7 PM,,0,0,0,0,1,,https://search.google.com/local/reviews?placeid=ChIJ1eXSH7S7jRIRWyn3rg68_yk&q=La+cabane+caf%C3%A9t%C3%A9ria&authuser=0&hl=en&gl=US,"36.7133125,4.1966874999999995",,Tamda,P57W+8M7,Freha,,,DZ,Africa/Algiers,3026344245867260251,0x128dbbb41fd2e5d5:0x29ffbc0eaef7295b,,,,"Takeout, Dine-in, Delivery",,"Wheelchair accessible entrance, Wheelchair accessible restroom, Wheelchair accessible seating",,"Coffee, Small plates",,"Breakfast, Lunch, Dessert",,Restroom,,Cozy,,Groups,,,,,,,,"Monday: 6 AM-7 PM
Tuesday: 6 AM-7 PM
Wednesday: 6 AM-7 PM
Thursday: 6 AM-7 PM
Friday: 6 AM-7 PM
Saturday: 6 AM-7 PM
Sunday: 6 AM-7 PM","10 AM, 11 AM, 9 AM
---
Time Label: 10 AM
Average Popularity: 47.285714285714285

Time Label: 11 AM
Average Popularity: 39.714285714285715

Time Label: 9 AM
Average Popularity: 35.57142857142857","Monday:
    5 AM: 0% | Idle
    6 AM: 9% | Usually not busy
    7 AM: 19% | Usually not busy
    8 AM: 14% | Usually not busy
    9 AM: 28% | Usually not too busy
    10 AM: 47% | Usually not too busy
    11 AM: 71% | Usually a little busy
    12 PM: 47% | Usually not too busy
    1 PM: 28% | Usually not too busy
    2 PM: 4% | Usually not busy
    3 PM: 0% | Idle
    4 PM: 0% | Idle
    5 PM: 9% | Usually not busy
    6 PM: 28% | Usually not too busy
    7 PM: 0% | Idle
    8 PM: 0% | Idle
    9 PM: 0% | Idle
    10 PM: 0% | Idle

Tuesday:
    5 AM: 0% | Idle
    6 AM: 4% | Usually not busy
    7 AM: 4% | Usually not busy
    8 AM: 9% | Usually not busy
    9 AM: 28% | Usually not too busy
    10 AM: 38% | Usually not too busy
    11 AM: 42% | Usually not too busy
    12 PM: 28% | Usually not too busy
    1 PM: 23% | Usually not too busy
    2 PM: 33% | Usually not too busy
    3 PM: 33% | Usually not too busy
    4 PM: 47% | Usually not too busy
    5 PM: 42% | Usually not too busy
    6 PM: 61% | Usually a little busy
    7 PM: 0% | Idle
    8 PM: 0% | Idle
    9 PM: 0% | Idle
    10 PM: 0% | Idle

Wednesday:
    5 AM: 0% | Idle
    6 AM: 23% | Usually not too busy
    7 AM: 19% | Usually not busy
    8 AM: 23% | Usually not too busy
    9 AM: 47% | Usually not too busy
    10 AM: 33% | Usually not too busy
    11 AM: 19% | Usually not busy
    12 PM: 19% | Usually not busy
    1 PM: 42% | Usually not too busy
    2 PM: 42% | Usually not too busy
    3 PM: 19% | Usually not busy
    4 PM: 4% | Usually not busy
    5 PM: 4% | Usually not busy
    6 PM: 14% | Usually not busy
    7 PM: 0% | Idle
    8 PM: 0% | Idle
    9 PM: 0% | Idle
    10 PM: 0% | Idle

Thursday:
    5 AM: 0% | Idle
    6 AM: 71% | Usually a little busy
    7 AM: 61% | Usually a little busy
    8 AM: 38% | Usually not too busy
    9 AM: 33% | Usually not too busy
    10 AM: 52% | Usually a little busy
    11 AM: 38% | Usually not too busy
    12 PM: 42% | Usually not too busy
    1 PM: 19% | Usually not busy
    2 PM: 19% | Usually not busy
    3 PM: 38% | Usually not too busy
    4 PM: 28% | Usually not too busy
    5 PM: 9% | Usually not busy
    6 PM: 9% | Usually not busy
    7 PM: 0% | Idle
    8 PM: 0% | Idle
    9 PM: 0% | Idle
    10 PM: 0% | Idle

Friday:
    5 AM: 0% | Idle
    6 AM: 9% | Usually not busy
    7 AM: 19% | Usually not busy
    8 AM: 23% | Usually not too busy
    9 AM: 9% | Usually not busy
    10 AM: 4% | Usually not busy
    11 AM: 0% | Idle
    12 PM: 0% | Idle
    1 PM: 0% | Idle
    2 PM: 0% | Idle
    3 PM: 0% | Idle
    4 PM: 4% | Usually not busy
    5 PM: 9% | Usually not busy
    6 PM: 19% | Usually not busy
    7 PM: 0% | Idle
    8 PM: 0% | Idle
    9 PM: 0% | Idle
    10 PM: 0% | Idle

Saturday:
    5 AM: 0% | Idle
    6 AM: 38% | Usually not too busy
    7 AM: 47% | Usually not too busy
    8 AM: 90% | Usually as busy as it gets
    9 AM: 57% | Usually a little busy
    10 AM: 57% | Usually a little busy
    11 AM: 23% | Usually not too busy
    12 PM: 23% | Usually not too busy
    1 PM: 4% | Usually not busy
    2 PM: 0% | Idle
    3 PM: 0% | Idle
    4 PM: 14% | Usually not busy
    5 PM: 42% | Usually not too busy
    6 PM: 66% | Usually a little busy
    7 PM: 0% | Idle
    8 PM: 0% | Idle
    9 PM: 0% | Idle
    10 PM: 0% | Idle

Sunday:
    5 AM: 0% | Idle
    6 AM: 9% | Usually not busy
    7 AM: 9% | Usually not busy
    8 AM: 33% | Usually not too busy
    9 AM: 47% | Usually not too busy
    10 AM: 100% | Usually as busy as it gets
    11 AM: 85% | Usually as busy as it gets
    12 PM: 76% | Usually a little busy
    1 PM: 33% | Usually not too busy
    2 PM: 19% | Usually not busy
    3 PM: 4% | Usually not busy
    4 PM: 9% | Usually not busy
    5 PM: 23% | Usually not too busy
    6 PM: 52% | Usually a little busy
    7 PM: 0% | Idle
    8 PM: 0% | Idle
    9 PM: 0% | Idle
    10 PM: 0% | Idle"
ChIJ48WOM0OvjRIRqbj5XrHCFac,Cafeteria,,False,"Name: Cafe Aissat Idir
link: https://www.google.com/maps/search/Caf%C3%A9+Aissat+Idir/@36.681362,4.2882625?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: CAFETERIA 
link: https://www.google.com/maps/search/CAF%C3%89T%C3%89RIA+%E2%98%95%EF%B8%8F/@36.7164329,4.1331396?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Cafeteria de la station
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+de+la+station/@36.6961198,4.074199699999999?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Glace
link: https://www.google.com/maps/search/Glace/@36.6824337,4.284027099999999?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",1,,Cafeteria (Owner),,,Coffee shop,Coffee shop,5,,Open All Days,,"M7MJ+2WP Cafeteria, Mekla, Algeria",,https://www.google.com/maps/place/Caf%C3%A9t%C3%A9ria/data=!4m7!3m6!1s0x128daf43338ec5e3:0xa715c2b15ef9b8a9!8m2!3d36.6825984!4d4.2823209!16s%2Fg%2F11rqyy546b!19sChIJ48WOM0OvjRIRqbj5XrHCFac?authuser=0&hl=en&rclk=1,,,0,0,0,0,1,,https://search.google.com/local/reviews?placeid=ChIJ48WOM0OvjRIRqbj5XrHCFac&q=Caf%C3%A9t%C3%A9ria&authuser=0&hl=en&gl=US,"36.682598399999996,4.2823209",,El Djamaa N Saridj,M7MJ+2WP,Mekla,,,DZ,Africa/Algiers,12039743245903313065,0x128daf43338ec5e3:0xa715c2b15ef9b8a9,,,,,,,,Coffee,,,,,,,,,,,,,,,,,Not Present,Not Present
ChIJI7koqKynjRIRS0QK686y2q8,Pause cafe pour ELLE,,False,,1,,Pause cafe pour ELLE (Owner),,https://lh5.googleusercontent.com/p/AF1QipNcb9zfQk57qU8hx4raEQrhje3LYYt4D8MQQ0g2=w408-h544-k-no,Coffee shop,Coffee shop,5,,Open All Days,+213 776 14 22 15,"P9WC+8RJ Pause cafe pour ELLE, Azazga, Algeria",,https://www.google.com/maps/place/Pause+caf%C3%A9+pour+ELLE/data=!4m7!3m6!1s0x128da7aca828b923:0xafdab2ceeb0a444b!8m2!3d36.7460796!4d4.3721522!16s%2Fg%2F11v0jt2m1s!19sChIJI7koqKynjRIRS0QK686y2q8?authuser=0&hl=en&rclk=1,,,0,0,0,0,1,,https://search.google.com/local/reviews?placeid=ChIJI7koqKynjRIRS0QK686y2q8&q=Pause+caf%C3%A9+pour+ELLE&authuser=0&hl=en&gl=DZ,"36.7460796,4.3721521999999995",,Azazga,P9WC+8RJ,Azazga,,,DZ,Africa/Algiers,12671637103336637515,0x128da7aca828b923:0xafdab2ceeb0a444b,,,,"Takeout, Dine-in",,Wheelchair accessible seating,,Coffee,,"Lunch, Dinner, Dessert",,Restroom,,Cozy,,Groups,,,,,,,,,Not Present,Not Present
ChIJ111JtUWnjRIROk_1V3jRfPc,El Qahwa n Rebbouh,,False,,1,,El Qahwa n Rebbouh (Owner),,,Coffee shop,Coffee shop,4,,Open All Days,,"Q848+QC3 El Qahwa n Rebbouh, Freha, Algeria",,https://www.google.com/maps/place/El+Qahwa+n+Rebbouh/data=!4m7!3m6!1s0x128da745b5495dd7:0xf77cd17857f54f3a!8m2!3d36.7568882!4d4.316034!16s%2Fg%2F11kpq49p0s!19sChIJ111JtUWnjRIROk_1V3jRfPc?authuser=0&hl=en&rclk=1,,,0,0,0,1,0,,https://search.google.com/local/reviews?placeid=ChIJ111JtUWnjRIROk_1V3jRfPc&q=El+Qahwa+n+Rebbouh&authuser=0&hl=en&gl=US,"36.7568882,4.316034",,Freha,Q848+QC3,Freha,,,DZ,Africa/Algiers,17833358939282296634,0x128da745b5495dd7:0xf77cd17857f54f3a,,,,"Takeout, Dine-in",,Wheelchair accessible seating,,Coffee,,"Lunch, Dinner, Dessert",,Restroom,,Cozy,,Groups,,,,Good for kids,,,,,Not Present,Not Present
